created_at,sum_interaction_count,sum_weighted_sentiment,positive_count,negative_count,null_count,volume_tweets,overall_sentiment,modified,Date,Symbol,Volume,Only_date,VWAP
2020-04-05-22,0,0,0,0,18,18,"",2020-04-06-00,2020-04-06-00,BCH.X,0.0,2020-04-06,186.0
2020-04-24-13,20,36,8,3,6,17,1.8,2020-04-24-15,2020-04-24-15,BTC.X,81.55549697,2020-04-24,7513.649999999999
2020-04-03-11,7,14,5,0,5,10,2.0,2020-04-03-13,2020-04-03-13,BTC.X,170.7468289,2020-04-03,6903.078333333334
2020-04-20-21,0,0,0,0,7,7,"",2020-04-20-23,2020-04-20-23,ETH.X,1424.845788,2020-04-20,172.15166666666664
2020-04-01-19,9,15,2,2,12,16,1.6666666666666667,2020-04-01-21,2020-04-01-21,BTC.X,141.4411067,2020-04-01,6381.136666666666
2020-03-31-08,3,6,1,0,12,13,2.0,2020-03-31-10,2020-03-31-10,BTC.X,11.08219383,2020-03-31,6440.990000000001
2020-04-21-00,15,30,6,0,7,13,2.0,2020-04-21-02,2020-04-21-02,BTC.X,49.08638452,2020-04-21,6878.875
2020-04-28-16,52,104,27,0,36,63,2.0,2020-04-28-18,2020-04-28-18,BCH.X,0.0,2020-04-28,237.53
2020-04-01-16,0,0,0,0,16,16,"",2020-04-01-18,2020-04-01-18,ETH.X,247.4146633,2020-04-01,129.84333333333333
2020-04-09-22,133,266,16,0,28,44,2.0,2020-04-10-00,2020-04-10-00,ETH.X,15.93309128,2020-04-10,170.77666666666664
2020-04-30-19,110,220,21,0,0,21,2.0,2020-04-30-21,2020-04-30-21,ETH.X,151.362149,2020-04-30,211.11833333333334
2020-03-27-12,16,27,11,5,10,26,1.6875,2020-03-27-14,2020-03-27-14,ETH.X,543.6381921,2020-03-27,135.35666666666665
2020-04-25-05,35,63,9,3,17,29,1.8,2020-04-25-07,2020-04-25-07,BTC.X,13.11365448,2020-04-25,7584.393333333333
2020-03-26-10,20,40,9,0,4,13,2.0,2020-03-26-12,2020-03-26-12,BTC.X,148.8264467,2020-03-26,6628.526666666666
2020-04-10-19,39,78,12,0,0,12,2.0,2020-04-10-21,2020-04-10-21,LTC.X,38.52081,2020-04-10,42.495
2020-04-27-01,102,204,32,0,0,32,2.0,2020-04-27-03,2020-04-27-03,LTC.X,740.36191,2020-04-27,44.98
2020-04-13-21,0,0,0,0,27,27,"",2020-04-13-23,2020-04-13-23,BCH.X,0.0,2020-04-13,241.0
2020-04-18-17,9,18,9,0,6,15,2.0,2020-04-18-19,2020-04-18-19,ETH.X,318.956311,2020-04-18,182.82333333333335
2020-04-10-13,72,144,30,0,0,30,2.0,2020-04-10-15,2020-04-10-15,LTC.X,6305.975115,2020-04-10,41.87833333333333
2020-05-01-02,62,124,6,0,7,13,2.0,2020-05-01-04,2020-05-01-04,ETH.X,257.2247872,2020-05-01,210.47
2020-03-29-05,53,62,5,24,21,50,1.169811320754717,2020-03-29-07,2020-03-29-07,BTC.X,14.38780432,2020-03-29,6161.528333333333
2020-04-04-23,141,282,29,0,28,57,2.0,2020-04-05-01,2020-04-05-01,LTC.X,15.76753,2020-04-05,40.93833333333333
2020-04-04-19,27,54,15,0,19,34,2.0,2020-04-04-21,2020-04-04-21,LTC.X,1951.74863,2020-04-04,40.625
2020-04-25-08,0,0,0,0,10,10,"",2020-04-25-10,2020-04-25-10,ETH.X,34.44585,2020-04-25,194.8283333333333
2020-03-25-12,297,594,54,0,0,54,2.0,2020-03-25-14,2020-03-25-14,BCH.X,0.0,2020-03-25,216.48
2020-04-07-16,32,64,4,0,13,17,2.0,2020-04-07-18,2020-04-07-18,ETH.X,540.6351451,2020-04-07,171.39166666666665
2020-04-12-06,9,9,0,4,21,25,1.0,2020-04-12-08,2020-04-12-08,BTC.X,26.45197447,2020-04-12,6843.220000000001
2020-03-31-02,0,0,0,0,11,11,"",2020-03-31-04,2020-03-31-04,ETH.X,681.5367225,2020-03-31,131.94
2020-04-09-11,0,0,0,0,7,7,"",2020-04-09-13,2020-04-09-13,LTC.X,1077.849255,2020-04-09,46.205000000000005
2020-03-30-00,0,0,0,0,20,20,"",2020-03-30-02,2020-03-30-02,LTC.X,1305.58558,2020-03-30,37.73666666666667
2020-04-15-17,30,57,10,2,17,29,1.9,2020-04-15-19,2020-04-15-19,BTC.X,67.63831038,2020-04-15,6752.78
2020-04-18-03,233,466,47,0,0,47,2.0,2020-04-18-05,2020-04-18-05,BCH.X,0.0,2020-04-18,233.78
2020-04-23-15,92,184,46,0,0,46,2.0,2020-04-23-17,2020-04-23-17,BCH.X,0.0,2020-04-23,235.37
2020-03-25-00,285,490,24,12,0,36,1.719298245614035,2020-03-25-02,2020-03-25-02,LTC.X,1520.885928,2020-03-25,40.09166666666667
2020-04-15-14,15,30,5,0,65,70,2.0,2020-04-15-16,2020-04-15-16,ETH.X,430.083035,2020-04-15,156.58666666666667
2020-03-29-08,6,7,1,2,3,6,1.1666666666666667,2020-03-29-10,2020-03-29-10,BTC.X,44.91577302,2020-03-29,6149.213333333333
2020-04-26-21,59,118,14,0,0,14,2.0,2020-04-26-23,2020-04-26-23,LTC.X,64.42257,2020-04-26,44.48333333333333
2020-04-23-21,12,24,6,0,36,42,2.0,2020-04-23-23,2020-04-23-23,ETH.X,0.0,2020-04-23,189.1
2020-03-30-08,16,32,7,0,0,7,2.0,2020-03-30-10,2020-03-30-10,ETH.X,439.384077,2020-03-30,131.28666666666666
2020-04-09-05,23,42,6,1,20,27,1.826086956521739,2020-04-09-07,2020-04-09-07,BTC.X,13.97759514,2020-04-09,7330.555
2020-03-30-19,20,38,9,1,3,13,1.9,2020-03-30-21,2020-03-30-21,BTC.X,209.0672966,2020-03-30,6532.795000000001
2020-04-13-03,0,0,0,0,3,3,"",2020-04-13-05,2020-04-13-05,LTC.X,116.28011,2020-04-13,40.34
2020-04-18-13,176,352,38,0,7,45,2.0,2020-04-18-15,2020-04-18-15,BTC.X,53.96992374,2020-04-18,7244.420000000001
2020-04-29-23,1,2,1,0,2,3,2.0,2020-04-30-01,2020-04-30-01,ETH.X,1269.261624,2020-04-30,217.65166666666667
2020-03-25-17,44,82,8,2,12,22,1.8636363636363635,2020-03-25-19,2020-03-25-19,BTC.X,158.184652,2020-03-25,6660.001666666666
2020-04-11-20,146,201,14,28,32,74,1.3767123287671232,2020-04-11-22,2020-04-11-22,BTC.X,32.04434782,2020-04-11,6873.275000000001
2020-04-20-13,39,78,24,0,66,90,2.0,2020-04-20-15,2020-04-20-15,ETH.X,2688.920951,2020-04-20,179.98333333333335
2020-03-27-00,79,158,23,0,14,37,2.0,2020-03-27-02,2020-03-27-02,LTC.X,1074.71758,2020-03-27,40.68666666666667
2020-03-31-14,0,0,0,0,20,20,"",2020-03-31-16,2020-03-31-16,BCH.X,0.0,2020-03-31,210.85
2020-04-04-22,75,150,21,0,22,43,2.0,2020-04-05-00,2020-04-05-00,ETH.X,411.2841,2020-04-05,145.09666666666666
2020-04-13-08,22,26,4,4,13,21,1.1818181818181819,2020-04-13-10,2020-04-13-10,BTC.X,47.92366717,2020-04-13,6714.745
2020-04-29-05,28,56,9,0,3,12,2.0,2020-04-29-07,2020-04-29-07,LTC.X,66.31588,2020-04-29,46.26833333333334
2020-04-28-12,40,80,10,0,0,10,2.0,2020-04-28-14,2020-04-28-14,ETH.X,950.2721352,2020-04-28,195.99333333333334
2020-04-05-03,0,0,0,0,21,21,"",2020-04-05-05,2020-04-05-05,ETH.X,35.12384088,2020-04-05,143.53666666666666
2020-03-29-12,48,96,24,0,0,24,2.0,2020-03-29-14,2020-03-29-14,BCH.X,0.5495,2020-03-29,220.28333333333333
2020-04-26-07,13,26,3,0,0,3,2.0,2020-04-26-09,2020-04-26-09,ETH.X,120.625433,2020-04-26,194.87
2020-04-28-12,52,104,16,0,0,16,2.0,2020-04-28-14,2020-04-28-14,LTC.X,361.8358561,2020-04-28,44.51
2020-04-13-20,0,0,0,0,17,17,"",2020-04-13-22,2020-04-13-22,ETH.X,286.7230856,2020-04-13,157.80999999999997
2020-04-22-18,41,76,16,4,11,31,1.853658536585366,2020-04-22-20,2020-04-22-20,BTC.X,124.5761981,2020-04-22,7112.645
2020-04-30-00,3,6,3,0,3,6,2.0,2020-04-30-02,2020-04-30-02,LTC.X,407.1155,2020-04-30,49.70666666666667
2020-04-24-03,68,136,5,0,0,5,2.0,2020-04-24-05,2020-04-24-05,BTC.X,43.46001917,2020-04-24,7528.156666666667
2020-04-17-23,0,0,0,0,8,8,"",2020-04-18-01,2020-04-18-01,LTC.X,13.90198,2020-04-18,42.56166666666667
2020-04-27-06,0,0,0,0,11,11,"",2020-04-27-08,2020-04-27-08,LTC.X,149.67381,2020-04-27,44.645
2020-04-26-05,3,5,2,1,3,6,1.6666666666666667,2020-04-26-07,2020-04-26-07,BTC.X,4.84279911,2020-04-26,7555.888333333333
2020-04-04-06,2,2,0,2,10,12,1.0,2020-04-04-08,2020-04-04-08,BTC.X,22.28580843,2020-04-04,6765.175
2020-04-05-19,4,8,4,0,4,8,2.0,2020-04-05-21,2020-04-05-21,ETH.X,151.197551,2020-04-05,142.67499999999998
2020-04-17-04,5,10,5,0,0,5,2.0,2020-04-17-06,2020-04-17-06,ETH.X,124.4387944,2020-04-17,170.42
